"Title","Year","TheNumbers_Budget","Kraggle_Budget"
"1,000 times good night",2014,NA,NA
"1001 grams",2015,NA,NA
"10 cloverfield lane",2016,5e+06,15000000
"10 days in a madhouse",2015,NA,1200000
"11.22.63",2016,NA,30000000
"11 minutes",2015,NA,2023012
"13 hours: the secret soldiers of benghazi",2016,5e+07,50000000
"13 minutes",2017,NA,NA
"13 sins",2014,NA,5000000
"14 blades",2014,NA,NA
"1944",2015,NA,2000000
"1987",2014,NA,4000000
"20,000 days on earth",2014,NA,NA
"20,000 leagues under the sea",2016,2e+05,NA
"20 once again",2015,NA,NA
"20th century women",2016,NA,7000000
"2:22",2017,NA,NA
"22 jump street",2014,5e+07,50000000
"22 minutes",2014,NA,6500000
"23 blast",2014,1e+06,NA
"24",2016,NA,10000000
"2 autumns, 3 winters",2014,NA,NA
"2 states",2014,NA,NA
"300: rise of an empire",2014,1.1e+08,110000000
"31",2016,1500000,1500000
"3 1/2 minutes, 10 bullets",2015,NA,NA
"3 braves",2015,NA,143149
"3 days to kill",2014,2.8e+07,28000000
"3 generations",2016,NA,5000000
"3 generations",2017,NA,NA
"3 idiotas",2017,NA,NA
"45 years",2015,NA,NA
"47 meters down",2017,NA,5500000
"50 to 1",2014,1e+07,10000000
"5 flights up",2014,NA,6000000
"5 flights up",2015,NA,NA
"5 to 7",2015,NA,NA
"6 below: miracle on the mountain",2017,NA,NA
"'71",2015,NA,NA
"7 boxes",2014,NA,NA
"90 minutes in heaven",2015,5e+06,5000000
"99 homes",2014,NA,8000000
"99 homes",2015,NA,NA
"aanandam",2016,NA,450000
"a bad moms christmas",2017,2.8e+07,NA
"abcd (any body can dance) 2",2015,NA,NA
"a beautiful planet",2016,NA,NA
"a bigger splash",2016,NA,NA
"a borrowed identity",2015,NA,NA
"about last night",2014,1.3e+07,12500000
"about last night (2014)",2014,NA,NA
"abracadabra",2017,NA,NA
"a brilliant young mind",2015,NA,NA
"absolutely anything",2017,NA,NA
"absolutely fabulous: the movie",2016,NA,NA
"absolution",2015,NA,2000000
"accidental love",2015,NA,26000000
"a coffee in berlin",2014,NA,NA
"a conspiracy of faith",2016,NA,5210000
"action hero biju",2016,NA,300000
"action jackson (2014)",2014,NA,NA
"a cure for wellness",2017,NA,40000000
"adderall diaries",2016,NA,NA
"addicted",2014,5e+06,NA
"admiral",2015,NA,10000000
"a dog's purpose",2017,NA,22000000
"a dog’s purpose",2017,2.5e+07,NA
"adulterers",2016,NA,750000
"adult world",2014,NA,NA
"advanced style",2014,NA,NA
"ae dil hai mushkil",2016,NA,NA
"aferim!",2015,NA,1379375
"aferim!",2016,NA,NA
"afflicted",2014,NA,318000
"a five star life",2014,NA,NA
"afterimage",2017,NA,NA
"aftermath",2017,NA,10500000
"after the ball",2015,NA,NA
"after the storm",2017,NA,NA
"against the sun",2015,NA,NA
"a gentleman",2017,NA,NA
"age of uprising: the legend of michael kohlhaas (u.s. only)",2014,NA,NA
"a ghost story",2017,NA,100000
"a girl walks home alone at night",2014,NA,1000000
"a good job: stories of the fdny",2014,NA,600000
"a good man",2014,NA,7000000
"a haunted house 2",2014,4e+06,NA
"a hologram for the king",2016,3.5e+07,30000000
"airlift",2016,NA,4500000
"a journey through time with anthony",2015,NA,NA
"alan partridge: the movie",2014,NA,NA
"a lego brickumentary",2015,NA,650000
"a letter to momo",2014,NA,NA
"alexander and the terrible, horrible, no good, very bad day",2014,2.8e+07,28000000
"alice through the looking glass",2016,1.7e+08,170000000
"alien: covenant",2017,9.7e+07,97000000
"a little chaos",2015,NA,NA
"all at once",2014,NA,750000
"allegiant",2016,NA,110000000
"alleluia",2015,NA,NA
"alléluia",2014,NA,3673315
"all eyez on me",2017,4.5e+07,45000000
"allied",2016,1.06e+08,85000000
"all saints",2017,2e+06,NA
"all-stars",2014,NA,608000
"all the money in the world",2017,NA,NA
"almost christmas",2016,1.7e+07,17000000
"aloft",2014,NA,8000000
"aloha",2015,3.7e+07,37000000
"alone in berlin",2017,NA,NA
"a long way down",2014,NA,NA
"along with the gods: the two worlds",2017,NA,NA
"alphaville (2013 re-release)",2014,NA,NA
"alvin and the chipmunks: the road chip",2015,9e+07,NA
"a man called ove",2016,NA,NA
"a melody to remember",2016,NA,NA
"american assassin",2017,6.3e+07,NA
"american heist",2014,NA,10000000
"american honey",2016,3500000,NA
"american made",2017,5e+07,NA
"american pastoral",2016,NA,NA
"american sniper",2014,5.8e+07,58800000
"american ultra",2015,2.8e+07,28000000
"a million ways to die in the west",2014,4e+07,NA
"amityville: the awakening",2017,NA,NA
"amnesiac",2015,NA,3000000
"a monster calls",2016,NA,43000000
"a monster calls",2017,4.3e+07,NA
"a monster with a thousand heads",2016,NA,NA
"a most violent year",2014,2e+07,20000000
"a most wanted man",2014,1.5e+07,15000000
"amour fou",2015,NA,NA
"amy",2015,NA,NA
"and so it goes",2014,1.8e+07,18000000
"anesthesia",2016,NA,NA
"an eye for beauty",2015,NA,NA
"angry video game nerd: the movie",2014,NA,325927
"an inconvenient sequel",2017,1e+06,NA
"an inconvenient sequel: truth to power",2017,NA,1000000
"anna",2014,NA,NA
"annabelle",2014,6500000,6500000
"annabelle: creation",2017,1.5e+07,NA
"annie",2014,6.5e+07,65000000
"annie (2014)",2014,NA,NA
"anomalisa",2015,8e+06,8000000
"another world",2014,NA,1000000
"anthropoid",2016,NA,9000000
"antibirth",2016,NA,35000000
"ant-man",2015,1.3e+08,130000000
"a perfect day",2016,NA,NA
"a pigeon sat on a branch reflecting on existence",2015,NA,NA
"a poem is a naked person (2015 re-issue)",2015,NA,NA
"appropriate behavior",2015,NA,NA
"april and the extraordinary world",2016,NA,NA
"aquarius",2016,NA,762241
"a quiet passion",2016,NA,8138338
"a quiet passion",2017,NA,NA
"arabian nights: volume 1 - the restless one",2015,NA,NA
"arabian nights: volume 2 - the desolate one",2015,NA,NA
"arabian nights: volume 3 - the enchanted one",2015,NA,NA
"archipelago",2014,NA,NA
"area 51",2015,NA,5000000
"argentina",2016,NA,NA
"a royal night out",2015,NA,NA
"arrival",2016,4.7e+07,47000000
"arsenal",2017,NA,10000000
"arthur & merlin",2015,NA,3000000
"as above, so below",2014,5e+06,5000000
"as above/so below",2014,NA,NA
"a second chance",2014,NA,4700000
"ashby",2015,NA,NA
"a silent voice",2017,NA,NA
"as i open my eyes",2016,NA,NA
"ask me anything",2014,NA,950000
"assassination (2015)",2015,NA,NA
"assassin's creed",2016,NA,125000000
"assassin’s creed",2016,1.25e+08,NA
"asterix: the mansions of the gods",2014,NA,30000000
"a street cat named bob",2016,NA,8000000
"asura: the city of madness",2016,NA,NA
"a tale of love and darkness",2015,NA,4000000
"a tale of love and darkness",2016,NA,NA
"a tale of winter (conte d'hiver)",2014,NA,NA
"a taxi driver",2017,NA,NA
"atlas shrugged part iii: who is john galt?",2014,NA,5000000
"atlas shrugged: who is john galt?",2014,5e+06,NA
