Title,BOMojo year,IMDB_ID,genres
"My Words, My Lies - My Love",2014, t1239449,Comedy
siddharth,2014,tt2932606,Drama
the players,2014, tt2087850,Comedy
gabrielle,2014,tt3106846,Drama
"1,000 times good night",2014,tt2353767,Drama
14 blades,2014,tt1442571,Action
"2 autumns, 3 winters",2014,tt2871116,Comedy
7 boxes,2014,tt2333598,Adventure
a coffee in berlin,2014,tt1954701,Comedy
adult world,2014,tt1067765,Comedy
a five star life,2014,tt2261434,Drama
age of uprising: the legend of michael kohlhaas,2014,tt2054790,Drama
alan partridge,2014,tt0469021,Action
a letter to momo,2014,tt1853614,Adventure
anna,2014,tt1715336,Drama
back in time,2014,tt4284020,Drama
begin again,2014,tt1980929,Comedy
beyond outrage,2014,tt1724962,Action
bicycling with moliere,2014,tt2207050,Comedy
borgman,2014,tt1954315,Drama
breathe in,2014,tt1999987,Drama
bright days ahead,2014,tt2379318,Drama
canopy,2014,tt2232578,Adventure
child's pose,2014,tt2187115,Drama
chinese puzzle,2014,tt1937118,Comedy
closed curtain,2014,tt2626926,Drama
decoding annie parker,2014,tt1464191,Drama
dom hemingway,2014,tt2402105,Comedy
dragon ball z: battle of gods,2014,tt2263944,Action
the empty hours,2014,tt3249158,Drama
ernest & celestine,2014,tt1816518,Adventure
evangelion: 3.0 you can (not) redo,2014,tt0860907,Action
fading gigolo,2014,tt2258345,Comedy
filth,2014,tt1450321,Comedy
finding vivian maier,2014,tt2714900,Biography
for a woman,2014,tt2176786,Drama
for no good reason,2014,tt2112152,Biography
a french gigolo,2014,tt1091992,Drama
girl on a bicycle,2014,tt1686042,Comedy
gladiators of rome,2014,tt1946347,Adventure
half of a yellow sun,2014,tt2215077,Drama
hateship loveship,2014,tt2463512,Drama
horns,2014,tt1528071,Crime
horses of god,2014,tt2369047,Drama
i am eleven,2014,tt1832370,Biography
ida,2014,tt2718492,Drama
ilo ilo,2014,tt2901736,Drama
in secret,2014,tt0409379,Crime
jack and the cuckoo-clock heart,2014,tt1181840,Adventure
jackpot,2014,tt1809231,Action
joe,2014,tt2382396,Crime
jimi: all is by my side,2014,tt2402085,Biography
just a sigh,2014,tt2659190,Drama
labor day,2014,tt1967545,Drama
le chef,2014,tt1911553,Comedy
le week-end,2014,tt2392326,Comedy
life of a king,2014,tt2708254,Drama
life of crime,2014,tt1663207,Comedy
life's a breeze,2014,tt2132374,Comedy
living is easy with eyes closed,2014,tt2896036,Comedy
locke,2014,tt2692904,Drama
love is in the air,2014,tt2298384,Comedy
make your move,2014,tt1828959,Drama
marius,2014,tt1872102,Drama
may in the summer,2014,tt2492664,Comedy
mood indigo,2014,tt2027140,Comedy
mr. pip,2014,tt1485749,Drama
night moves,2014,tt2043933,Action
nymphomaniac: vol. i,2014,tt1937390,Drama
nymphomaniac: vol. ii,2014,tt2382009,Drama
oculus,2014,tt2388715,Horror
omar,2014,tt2852406,Drama
one chance,2014,tt1196956,Biography
only lovers left alive,2014,tt1714915,Comedy
on my way,2014,tt2289538,Comedy
on the other side of the tracks,2014,tt1937133,Action
palo alto,2014,tt2479800,Drama
pioneer,2014,tt2369205,Thriller
plot for peace,2014,tt2679680,Documentary
policeman,2014,tt1978447,Drama
ragnarok,2014,tt2363213,Action
return to the hiding place,2014,tt1691153,Drama
rigor mortis,2014,tt2771800,Action
road to ninja: naruto the movie,2014,tt2290828,Action
snowpiercer,2014,tt1706620,Action
"like father, like son",2014,tt2331143,Drama
special id,2014,tt2118775,Action
starred up,2014,tt2567712,Crime
tasting menu,2014,tt1826753,Comedy
the amazing catfish,2014,tt2414046,Comedy
the attorney,2014,tt3404140,Drama
the best offer,2014,tt1924396,Crime
the congress,2014,tt1821641,Animation
the dance of reality,2014,tt2301592,Biography
the double,2014,tt1825157,Comedy
the face of love,2014,tt1839642,Drama
the french minister,2014,tt2609222,Comedy
the german doctor,2014,tt1847746,Drama
the grand seduction,2014,tt2319580,Comedy
the last sentence,2014,tt1590013,Biography
the little bedroom,2014,tt1401669,Drama
the love punch,2014,tt2234261,Comedy
the lunchbox,2014,tt2350496,Drama
the notebook,2014,tt2324384,Drama
the players,2014,tt2087850,Comedy
the protector 2,2014,tt1925518,Action
the railway man,2014,tt2058107,Biography
the rocket,2014,tt2178256,Drama
the strange little cat,2014,tt2586000,Comedy
the suspect,2014,tt3404158,Action
the tale of the princess kaguya,2014,tt2576852,Adventure
the wind rises,2014,tt2013293,Animation
the zero theorem,2014,tt2333804,Comedy
thunder and the house of magic,2014,tt3148834,Adventure
under the skin,2014,tt1441395,Drama
unrelated,2014,tt1107850,Drama
venus in fur,2014,tt2406252,Drama
very good girls,2014,tt1931602,Drama
we are the best!,2014,tt2364975,Drama
why don't you play in hell?,2014,tt2409302,Action
words and pictures,2014,tt2380331,Comedy
young & beautiful,2014,tt2752200,Drama
love,2015,tt3774694,Drama
home,2015,tt2224026,Animation
hero,2015,tt4467202,Action
heist,2015,tt3276924,Action
girlhood,2015,tt3655522,Drama
iris,2015,tt4157220,Documentary
coming home,2015,tt3125472,Drama
"buen dia, ramon",2015,tt2876428,Drama
alleluia,2015,tt3218580,Crime
dancing arabs,2015,tt2841572,Drama
brothers,2015,tt3802576,Action
charlie's country,2015,tt3244512,Drama
eastern boys,2015,tt2991092,Crime
eva,2015,tt1298554,Drama
human capital,2015,tt2465578,Drama
it's all so quiet,2015,tt2167715,Drama
taxi,2015,tt4359416,Comedy
the prophet,2015,tt1640718,Animation
the kindergarten teacher,2015,tt3709678,Drama
of horses and men,2015,tt307473,Comedy
out 1,2015,tt0246135,Drama
paulette,2015,tt2215395,Comedy
queen and country,2015,tt2392810,Drama
tangerine,2015,tt3824458,Comedy
the 100-year old man who climbed out the window and disappeared,2015,tt4032450,Adventure
the green inferno,2015,tt2403021,Adventure
the mafia only kills in summer,2015,tt3374966,Comedy
the witness,2015,tt4979652,Action
the young & prodigious t.s. spivet,2015,tt1289783,Action
it's hard being loved by jerks,2015,tt1289783,Documentary
born to be blue,2016,tt2133196,Biography
the clan,2016,tt4411504,Biography
el jeremías,2016,tt4457020,Comedy
fireworks wednesday,2016,tt0845439,Drama
my king,2016,tt3478962,Drama
papa,2016,tt4694440,Comedy
pelé: birth of a legend,2016,tt0995868,Biography
rams,2016,tt3296658,Drama
sk1,2016,tt3433632,Crime
standing tall,2016,tt3791302,Drama
the lobster,2016,tt3464902,Comedy
the student and mister henri,2016,tt4948452,Comedy
raw (2017),2017,tt4954522,Horror
breathe,2017,tt5716464,Biography
inhumans,2017,tt4154858,Action
mr. gaga,2017,tt3412684,Biography
irreplaceable,2017,tt5078326,Comedy
the promise,2017,tt4776998,Drama
"3Â½ minutes, ten bullets",2015,tt4126312,Crime
allÃ©luia,2014,tt3218580,Crime
ancien and the magic tablet,2017,tt5731132,Adventure
but always,2014,tt3906444,Drama
darker than night,2014,tt3450116,Horror
the dark horse,2014,tt2192016,Biography
der anständige,2014,tt3508830,Documentary
gÃ¼eros,2014,tt3499048,Comedy
i'm your hero,2014,tt2762334,Action
legends of oz: dorothy's return,2014,tt0884726,Animation
perigo próximo,2017,tt4443658,Comedy
pokémon the movie: i choose you!,2017,tt6595896,Action
serial killer 1,2016,tt3433632,Crime
stalingrad,2014,tt1966566,Action
still life (2015),2015,tt2395417,Drama
pheonix (2015),2015,tt2764784,Drama
like crazy (2017),2017,tt4621872,Comedy
the chambermaid lynn,2014,tt3290440,Drama
the jewish cardinal,2014,tt2806908,Biography
the secret in their eyes (2015),2015,tt1741273,Crime
twins 2,2017,tt5456546,Action
wei ai zhi jian ru jia jing,2014,tt4242844,Comedy
youth (2017),2017,tt6654316,Drama
